,id,station_no,status_id,time_zone,id_aero,id_imo,id_marine,id_wmo,id_hydro,id_aust,id_niwa,id_niwa_agent,comments,country_code,start_date,end_date,ht_aero,ht_elev,ht_ssb,latitude,longitude,name_primary,name_secondary,region,catchment,authority,lu_0_100m,lu_100m_1km,lu_1km_10km,soil_type,surface_type,critical_river_height,location_datum,location_epsg,phenomena_kept
0,296,1320100,1,SAM,,,,,,,,,Station ID by water Div as stated in the Flosys Server configuration,WS,2014-11-06,,,,,-13.9333,-171.75,Mt Le Pue AR,Rainfall,Upolu,,Water Resources Division,,,,,,,,,
1,1166,6059,1,NZT,,,,91765,,,J76500,6059,,WS,1978-07-01,,,3.0,,-14.333,-170.717,SAMOA - PAGO PAGO AERO,Synop,Samoa,,,,,,,,,,,
2,177,75900,1,SAM,NSFA,,,91759,,,J75900,6031,,WS,1905-09-05,,,3.0,,-13.8328,-171.994,Faleolo Intl,Climate,Upolu,,SMD,5.0,,,,5.0,,,,
3,178,75901,1,SAM,,,,,,,J75901,6032,Original coordinates -13.8000 -171.9333. Updated coordinates from Google Earth,WS,1905-06-02,,,270.0,,-13.811,-171.939,Fasitoo Uta,Rainfall,Upolu,,SMD,,,,,,,,,
4,179,75902,2,SAM,,,,,,,J75902,6033,,WS,1970-04-30,,,27.0,,-13.883,-172.017,Falelatai,Rainfall,Upolu,,SMD,,,,,,,,,
5,180,75903,1,SAM,,,,,,,,,"Level its= Ok, Remain in North position, clean both the outer and the inner tube.",WS,1905-05-23,,,65.0,,-13.95,-171.9167,Matautu Lefaga,Rainfall,Upolu,,SMD,,,,,,,,,
6,181,75904,2,SAM,,,,,,,,,"Installed by Taala, Niko and Sagato. P.M.S Raingauge. Original coordinates -13.9353 -171.5469. Coordinates updated using Google Earth.",WS,1995-02-28,2003-01-30,,2.0,,-13.943,-171.556,Maasina Fagaloa,Rainfall,Upolu,,SMD,7.0,,,,,,,,
7,182,75905,2,SAM,,,,,,,,,Original coordinates -14.0833 -171.5833. Updated coordinates from Google Earth.,WS,1905-06-17,2013-10-23,,56.0,,-14.0311,-171.609,Salani Falealili,Rainfall,Upolu,,SMD,,,,,,,,,
8,183,75906,1,SAM,,,,,,,,,,WS,1905-06-17,,,45.0,,-13.9833,-171.8333,Nuusuatia,Rainfall,Upolu,,SMD,,,,,,,,,
9,184,75907,2,SAM,,,,,,,,,,WS,1905-06-17,2013-10-25,,210.0,,-13.8333,-171.9167,Leauva'a Uta,Rainfall,Upolu,,SMD,,,,,,,,,
10,185,75908,2,SAM,,,,,,,,,,WS,1905-06-17,2013-10-22,,270.0,,-14.0,-171.4833,Ti'avea Uta,Rainfall,Upolu,,SMD,,,,,,,,,
11,186,75909,2,SAM,,,,,,,,,Original coordinates -14.0270 -171.4130. Coordinates updated using Google Earth.,WS,1997-01-01,2014-05-09,,3.0,,-14.0451,-171.439,Vailoa Aleipata,Rainfall,Upolu,,SMD,,,,,,,,,
12,187,75911,2,SAM,,,,,,,,,"Closed, but its now worked together with EPC by using their Tipping Backet rain gauge.",WS,1905-05-23,,,60.0,,-13.9167,-171.6167,Sauniatu,Rainfall,Upolu,,SMD,,,,,,,,,
13,188,75912,2,SAM,,,,,,,,,Original coordinates -13.8650 -171.5870. Coordinates updated using Google Earth.,WS,1997-01-01,2000-01-31,,20.0,,-13.8746,-171.597,Piula,Rainfall,Upolu,,SMD,,,,,,,,,
14,189,75919,2,SAM,,,,,,,,,,WS,1975-01-01,,,,,-13.93,-171.96,Faleseela,Rainfall,Upolu,,SMD,,,,,,,,,
